0,1
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,5
9,8
10,10
11,9
12,12
13,15
14,18
15,22
16,23
17,22
18,19
19,16
20,12
21,11
22,8
23,8
24,5
25,6
26,3
27,3
28,2
29,1
30,2
31,1
32,0
33,0
34,1
35,1
36,1
37,1
38,0
39,2
40,0
41,0
42,0
43,0
44,2
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,3
54,16
55,34
56,54
57,64
58,65
59,60
60,49
61,41
62,39
63,44
64,44
65,40
66,36
67,33
68,28
69,24
70,18
71,18
72,18
73,14
74,11
75,2
76,1
77,0
78,0
79,1
80,1
81,1
82,1
83,0
84,2
85,0
86,0
87,0
88,0
89,2
90,0
91,1
92,0
93,1
94,0
95,0
96,0
97,3
98,6
99,8
